Module	Section	Sample Name	Source
FastQC	all_sections	NeuN_minus.B58_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B58_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B59_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B59_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B60_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B60_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B61_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B61_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B62_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B62_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B63_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B63_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B64_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B64_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B65_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B65_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B66_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B66_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B67_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B67_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B68_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B68_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B69_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B69_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B70_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B70_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B71_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B71_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B72_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B72_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B73_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B73_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B74_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B74_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B21_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B21_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B22_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B22_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B25_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B25_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B27_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B27_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B28_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B28_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B30_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B30_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B31_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B31_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B32_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B32_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B33_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B33_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B34_T4_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B34_T4_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B35_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B35_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B36_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B36_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B37_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B37_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B38_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B38_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B39_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B39_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B40_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B40_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B41_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B41_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B45_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B45_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B46_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B46_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B47_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B47_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B50_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B50_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B51_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B51_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B52_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B52_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B53_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B53_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B54_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B54_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B55_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B55_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B56_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B56_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B57_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B57_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B58_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B58_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B60_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B60_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B61_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B61_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B62_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B62_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B65_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B65_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B66_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B66_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B69_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B69_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B70_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B70_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B71_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B71_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B72_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B72_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B73_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B73_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_plus.B74_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_plus.B74_T1_HS_fastqc.zip
